                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0302,                   4.75,                0.73397,                 7.0872,                 2.9192,                0.01101,                0.94444,                0.05131,                0.01924,                0.01004,                0.86111,                0.04734,                0.00959,                 1.8807,                 4.1226,                 0.7157,                 3.2474,                 2.4512,                0.00014,                0.00014,                0.00014
                      2,                 2.0713,                 4.1496,                0.69298,                 2.7202,                 2.1734,                0.35183,                0.58333,                0.37426,                0.13534,                0.48426,                0.60003,                0.50591,                0.14761,                 2.0183,                 3.7965,                0.68114,                  2.435,                 2.2176,             0.00029901,             0.00029901,             0.00029901
                      3,                 1.6672,                 2.8942,                0.60064,                 1.6411,                 1.6909,                0.95106,                0.54012,                0.80245,                0.41717,                0.95106,                0.54012,                0.76053,                0.25493,                 1.6899,                 3.4519,                0.62866,                 1.2212,                 2.0451,             0.00045696,             0.00045696,             0.00045696
                      4,                 1.7437,                 2.3219,                 0.5396,                 1.3844,                  1.758,                      1,                0.96249,                0.99395,                0.46806,                      1,                0.96249,                0.99395,                0.47101,                 1.6629,                 2.2943,                0.48011,                 1.2542,                 2.3269,             0.00061386,             0.00061386,             0.00061386
                      5,                 1.6524,                 2.1961,                0.49418,                 1.3874,                 1.7182,                      1,                0.91575,                0.98374,                0.50091,                      1,                0.91575,                0.98374,                0.50542,                 1.4356,                 1.9489,                 0.3867,                 1.6814,                 1.9686,              0.0007697,              0.0007697,              0.0007697
                      6,                 1.6266,                  2.121,                0.49233,                 1.2478,                 1.6814,                0.40525,                0.91667,                0.65508,                0.26586,                0.41578,                0.94444,                0.65823,                0.41328,                 1.6403,                 1.6019,                0.29644,                 4.6546,                 2.1713,             0.00092449,             0.00092449,             0.00092449
                      7,                 1.5621,                 1.9018,                0.46241,                  1.166,                 1.6407,                0.95655,                0.94444,                0.98763,                0.49019,                 0.9552,                0.94444,                0.99063,                0.63825,                 1.4774,                 1.4819,                0.26935,                 2.1836,                 1.9092,              0.0010782,              0.0010782,              0.0010782
                      8,                 1.7149,                 1.5798,                0.47604,                 1.0861,                 1.7062,                0.82373,                0.80556,                0.80098,                0.19617,                0.89002,                0.89935,                0.93918,                0.59166,                 2.5047,                 1.5312,                 0.2866,                 1.3382,                 3.1832,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.6758,                 1.7448,                0.42607,                 1.1751,                 1.6503,                0.93931,                   0.75,                0.90183,                0.46438,                 0.9741,                0.77778,                 0.8965,                0.56093,                 1.5557,                 1.6213,                0.23733,                  1.086,                 1.9606,              0.0013825,              0.0013825,              0.0013825
                     10,                 1.6683,                 1.6179,                  0.428,                 1.1093,                 1.6279,                0.87638,                0.86111,                0.90122,                0.46032,                0.87998,                0.86111,                0.87573,                0.48218,                 1.7326,                 1.8293,                0.24155,                0.98875,                 2.1922,              0.0015331,              0.0015331,              0.0015331
