                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6631,                 4.3215,                0.70965,                 5.7972,                 2.9303,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.0544,                 3.8945,                 0.6748,                 5.5309,                 3.3948,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.3962,                 4.4163,                0.71382,                 4.5828,                 2.6372,                0.45132,                  0.625,                0.60438,                0.22596,                0.51038,                    0.5,                 0.4485,                0.07171,                  1.766,                 3.6746,                0.67062,                 2.1181,                 2.4903,             0.00017941,             0.00017941,             0.00017941
                      3,                 1.7767,                 3.2399,                0.68906,                  2.183,                 2.0262,                0.11794,                  0.125,                0.04646,                0.01617,                0.11794,                  0.125,                0.04714,                0.00845,                  3.134,                 4.0382,                0.68028,                 4.7768,                 3.4348,             0.00027815,             0.00027815,             0.00027815
                      4,                 1.6325,                 2.6322,                0.70506,                 1.6596,                 1.9759,                 0.1056,                  0.125,                0.05848,                 0.0282,                 0.1056,                  0.125,                0.06347,                 0.0161,                 2.4375,                 3.6106,                0.67782,                 3.3559,                 2.4742,             0.00037624,             0.00037624,             0.00037624
                      5,                 1.6211,                 2.4306,                0.70326,                 1.3195,                  2.014,                0.69314,                  0.875,                 0.7527,                 0.3629,                0.72632,                0.91667,                0.80921,                0.31512,                 1.6232,                  2.753,                0.62267,                   1.69,                 2.5032,             0.00047366,             0.00047366,             0.00047366
                      6,                 1.8496,                   2.26,                0.63503,                 1.5802,                 2.2734,                0.57921,                0.70833,                0.56616,                0.24431,                0.57921,                0.70833,                0.60724,                0.26757,                 2.1338,                 3.0449,                0.63732,                 2.0048,                 2.7945,             0.00057043,             0.00057043,             0.00057043
                      7,                 1.5955,                 2.0218,                0.63919,                 1.2985,                 1.9815,                0.71331,                0.62215,                0.74143,                0.19576,                0.76496,                0.70833,                0.81975,                 0.3118,                 2.4337,                 2.7539,                0.59098,                 2.5883,                 3.3698,             0.00066654,             0.00066654,             0.00066654
                      8,                 1.8746,                 2.2798,                0.62129,                 1.2565,                 2.1655,                 0.0417,                   0.75,                0.04286,                0.02081,                 0.0417,                   0.75,                0.04286,                0.01948,                 2.0663,                 2.5401,                 0.5613,                 72.738,                 3.3188,             0.00076198,             0.00076198,             0.00076198
                      9,                 1.9515,                 1.9628,                 0.6203,                 1.5129,                 2.1897,                 0.0101,                0.58333,                0.00939,                0.00356,                0.00952,                   0.54,                0.00745,                0.00348,                 3.3758,                 7.3858,                0.59972,                    inf,                 18.218,             0.00085677,             0.00085677,             0.00085677
                     10,                 1.6064,                  1.875,                0.60128,                 1.2631,                 1.9869,                0.00806,                0.41667,                0.01259,                0.00217,                0.00842,                0.33333,                 0.0073,                0.00125,                 3.8365,                 9.0974,                 0.5722,                    inf,                 34.383,             0.00095089,             0.00095089,             0.00095089
