Unnamed: 0,Drug_ID,Drug,property,canonical_smiles
0,0,Cc1cc(=O)oc2ccc3c(c12)C1(C)OOC1(C)O3,1,Cc1cc(=O)oc2ccc3c(c12)C1(C)OOC1(C)O3
1,1,CN(CC(O)CO)N=O,1,CN(CC(O)CO)N=O
2,2,O=[N+]([O-])c1ccc(OC2CO2)cc1,1,O=[N+]([O-])c1ccc(OC2CO2)cc1
3,3,Cn1cnc2cc([N+](=O)[O-])ccc21,1,Cn1cnc2cc([N+](=O)[O-])ccc21
4,4,CC[C@H](CO)NCCN[C@H](CC)CO,1,CCC(CO)NCCNC(CC)CO
5,5,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1,1,CC(C)(C)NCC(O)c1cc(Cl)c(N)c(C(F)(F)F)c1
6,6,Cc1ccc2c(ccc3ccccc32)c1,1,Cc1ccc2c(ccc3ccccc32)c1
7,7,OC[PH](CO)(CO)CO,1,OC[PH](CO)(CO)CO
8,8,C/C=C/c1ccc(OC)cc1,1,CC=Cc1ccc(OC)cc1
9,9,c1ccc2c(c1)-c1cc3c(cc1C1NC21)-c1ccccc1C1NC31,1,c1ccc2c(c1)-c1cc3c(cc1C1NC21)-c1ccccc1C1NC31
10,10,COc1nsc2cccc([N+](=O)[O-])c12,1,COc1nsc2cccc([N+](=O)[O-])c12
11,11,CC(C)=CCC1CCCC1=O,1,CC(C)=CCC1CCCC1=O
12,12,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1
13,13,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,1,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC
14,14,OCC(CO)N[C@@H]1C[C@](O)(CO)[C@H](O)[C@@H](O)[C@@H]1O,1,OCC(CO)NC1CC(O)(CO)C(O)C(O)C1O
15,15,O=[N+]([O-])c1ccc(COc2ccccc2)cc1,1,O=[N+]([O-])c1ccc(COc2ccccc2)cc1
16,16,CCOC(=O)N(CC)N=O,1,CCOC(=O)N(CC)N=O
17,17,CCCCCCN(N=O)C(N)=O,1,CCCCCCN(N=O)C(N)=O
18,18,O=C(C(=O)c1ccccc1)c1ccccc1,1,O=C(C(=O)c1ccccc1)c1ccccc1
19,19,Cc1ccccc1OCC1CO1,1,Cc1ccccc1OCC1CO1
